Format,Cap,Country,StateName,PlayerName,First,Last,Matches,Batting_Runs,Batting_Highest_run,Batting_Average,Bowling_Balls,Bowling_Maiden_overs,Bowling_Runs_conceded,Bowling_Wickets,Bowling_Average,Fielding_Catches,Fielding_Stumping
ODI,1,India,Telangana,Syed Abid Ali,1974,1975,5,93,70,31,336,10,187,7,26.71,0,0
ODI,2,India,Punjab,Bishan Singh Bedi,1974,1979,10,31,13,6.2,590,17,340,7,48.57,4,0
ODI,3,India,Maharashtra,Farokh Engineer,1974,1975,5,114,54,38,0,0,0,0,0,3,1
ODI,4,India,Maharashtra,Sunil Gavaskar,1974,1987,108,3092,103,35.13,20,0,25,1,25,22,0
ODI,5,India,Punjab,Madan Lal,1974,1987,67,401,53,19.09,3164,44,2137,73,29.27,18,0
ODI,6,India,Maharashtra,Sudhir Naik,1974,1974,2,38,20,19,0,0,0,0,0,0,0
ODI,7,India,Karnataka,Brijesh Patel,1974,1979,10,243,82,30.37,0,0,0,0,0,1,0
ODI,8,India,Maharashtra,Eknath Solkar,1974,1976,7,27,13,4.5,252,4,169,4,42.25,2,0
ODI,9,India,Tamil Nadu,Srinivasaraghavan Venkataraghavan,1974,1983,15,54,26,10.8,868,7,542,5,108.4,4,0
ODI,10,India,Karnataka,Gundappa Viswanath,1974,1982,25,439,75,19.95,0,0,0,0,0,3,0
ODI,11,India,Maharashtra,Ajit Wadekar,1974,1974,2,73,67,36.5,0,0,0,0,0,1,0
ODI,12,India,West Bengal,Gopal Bose,1974,1974,1,13,13,13,66,2,39,1,39,0,0
ODI,13,India,Maharashtra,Ashok Mankad,1974,1974,1,44,44,44,35,0,47,1,47,0,0
ODI,14,India,Punjab,Mohinder Amarnath,1975,1989,85,1924,102,30.53,2730,17,1971,46,42.84,23,0
ODI,15,India,Maharashtra,Anshuman Gaekwad,1975,1987,15,269,78,20.69,48,0,39,1,39,6,0
ODI,16,India,Gujarat,Karsan Ghavri,1975,1981,19,114,20,11.4,1033,12,708,15,47.2,2,0
ODI,17,India,Karnataka,Syed Kirmani,1976,1986,49,373,48,20.72,0,0,0,0,0,27,9
