Format,Cap,Country,StateName,PlayerName,First,Last,Matches,Batting_Runs,Batting_Highest_run,Batting_Average,Bowling_Balls,Bowling_Maiden_overs,Bowling_Runs_conceded,Bowling_Wickets,Bowling_Average,Fielding_Catches,Fielding_Stumping
Test,1,India,Uttar Pradesh,Amar Singh,1932,1936,7,292,51,22.46,,,,28,30.64,3,0
Test,2,India,Maharashtra,Sorabji Colah,1932,1933,2,69,31,17.25,,,,0,0,2,0
Test,3,India,Maharashtra,Jahangir Khan,1932,1936,4,39,13,5.57,,,,4,63.75,4,0
Test,4,India,Uttar Pradesh,Lall Singh,1932,1932,1,44,29,22,,,,0,0,1,0
Test,5,India,Punjab,Naoomal Jeoomal,1932,1934,3,108,43,27,,,,2,34,0,0
Test,6,India,Maharashtra,Janardan Navle,1932,1933,2,42,13,10.5,,,,0,0,1,0
Test,7,India,Madhya Pradesh,C K Nayudu,1932,1936,7,350,81,25,,,,9,42.88,4,0
Test,8,India,Punjab,Nazir Ali,1932,1934,2,30,13,7.5,,,,4,20.75,0,0
Test,9,India,Uttar Pradesh,Mohammad Nissar,1932,1936,6,55,14,6.87,,,,25,28.28,2,0
Test,10,India,Maharashtra,Phiroze Palia,1932,1936,2,29,16,9.66,,,,0,0,0,0
Test,11,India,Punjab,Wazir Ali,1932,1936,7,237,42,16.92,,,,0,0,1,0
Test,12,India,Uttar Pradesh,Lala Amarnath,1933,1952,24,878,118,24.38,,,,45,32.91,13,0
Test,13,India,Madhya Pradesh,L P Jai,1933,1933,1,19,19,9.5,,,,0,0,0,0
Test,14,India,Maharashtra,Rustomji Jamshedji,1933,1933,1,5,4,0,,,,3,45.66,2,0
Test,15,India,Maharashtra,Vijay Merchant,1933,1951,10,859,154,47.72,,,,0,0,7,0
Test,16,India,Maharashtra,Ladha Ramji,1933,1933,1,1,1,0.5,,,,0,0,1,0
Test,17,India,Uttar Pradesh,Dilawar Hussain,1934,1936,3,254,59,42.33,,,,0,0,6,1
Test,18,India,Tamil Nadu,M J Gopalan,1934,1934,1,18,11,18,,,,1,39,3,0
Test,19,India,Punjab,Mushtaq Ali,1934,1952,11,612,112,32.21,,,,3,67.33,7,0
Test,20,India,Andhra Pradesh,C S Nayudu,1934,1952,11,147,36,9.18,,,,2,179.5,3,0
Test,21,India,Punjab,Yuvraj of Patiala,1934,1934,1,84,60,42,,,,0,0,2,0
Test,22,India,Maharashtra,Dattaram Hindlekar,1936,1946,4,71,26,14.2,,,,0,0,3,0
Test,23,India,Andhra Pradesh,Maharajkumar of Vizianagram,1936,1936,3,33,19,8.25,,,,0,0,1,0
Test,24,India,Maharashtra,Khershed Meherhomji,1936,1936,1,0,0,0,,,,0,0,1,0
Test,25,India,Tamil Nadu,Cotar Ramaswami,1936,1936,2,170,60,56.66,,,,0,0,0,0
Test,26,India,Punjab,Baqa Jilani,1936,1936,1,16,12,16,,,,0,0,0,0
Test,27,India,Punjab,Gul Mohammad,1946,1952,8,166,34,11.06,,,,2,12,3,0
Test,28,India,Maharashtra,Vijay Hazare,1946,1953,30,2192,164,47.65,,,,20,61,11,0
Test,29,India,Uttar Pradesh,Abdul Hafeez,1946,1946,3,80,43,16,,,,0,0,0,0
Test,30,India,Maharashtra,Vinoo Mankad,1946,1959,44,2109,231,31.47,,,,162,32.32,33,0
Test,31,India,Maharashtra,Rusi Modi,1946,1952,10,736,112,46,,,,0,0,3,0
Test,32,India,Delhi,Nawab of Pataudi Sr,1946,1946,3,55,22,11,,,,0,0,1,0
Test,33,India,Maharashtra,Sadashiv Shinde,1946,1952,7,85,14,14.16,,,,12,59.75,0,0
Test,34,India,Maharashtra,Chandu Sarwate,1946,1951,9,208,37,13,,,,3,124.66,0,0
Test,35,India,Maharashtra,Ranga Sohoni,1946,1951,4,83,29,16.6,,,,2,101,2,0
Test,36,India,Maharashtra,Hemu Adhikari,1947,1959,21,872,114,31.14,,,,3,27.33,8,0
Test,37,India,Maharashtra,Jenni Irani,1947,1947,2,3,2,3,,,,0,0,2,1
Test,38,India,Maharashtra,Gogumal Kishenchand,1947,1952,5,89,44,8.9,,,,0,0,1,0
Test,39,India,Maharashtra,Khandu Rangnekar,1947,1948,3,33,18,5.5,,,,0,0,1,0
Test,40,India,Punjab,Amir Elahi,1947,1947,1,17,13,8.5,,,,0,0,0,0
Test,41,India,Maharashtra,Dattu Phadkar,1947,1959,31,1229,123,32.34,,,,62,36.85,21,0
Test,42,India,Uttar Pradesh,Kanwar Rai Singh,1948,1948,1,26,24,13,,,,0,0,0,0
Test,43,India,West Bengal,Probir Sen,1948,1952,14,165,25,11.78,,,,0,0,20,11
Test,44,India,Tamil Nadu,C R Rangachari,1948,1948,4,8,8,2.66,,,,9,54.77,0,0
Test,45,India,Gujarat,Khanmohammed Ibrahim,1948,1949,4,169,85,21.12,,,,0,0,0,0
Test,46,India,Maharashtra,Keki Tarapore,1948,1948,1,2,2,2,,,,0,0,0,0
Test,47,India,Maharashtra,Polly Umrigar,1948,1962,59,3631,223,42.22,,,,35,42.08,33,0
Test,48,India,West Bengal,Montu Banerjee,1949,1949,1,0,0,0,,,,5,36.2,3,0
Test,49,India,Punjab,Ghulam Ahmed,1949,1959,22,192,50,8.72,,,,68,30.17,11,0
